association	dataset	threshold value	standardized value
NRD1	Pathway Commons Protein-Protein Interactions	1.0	null
GTEX-X4XX-0011-R8B-SM-46MWM	GTEx Tissue Sample Gene Expression Profiles	1.0	0.832199
Primary visual area, layer 1	Allen Brain Atlas Adult Mouse Brain Tissue Gene Expression Profiles	1.0	1.25521
HUPT3	CCLE Cell Line Gene CNV Profiles	-1.0	-1.43285
Lung adenocarcinoma_LUAD_TCGA-05-4418-01A-01R-1206-07	TCGA Signatures of Differentially Expressed Genes for Tumors	1.0	null
location	GeneRIF Biological Term Annotations	1.0	null
GTEX-OXRO-1226-SM-48TDL	GTEx Tissue Sample Gene Expression Profiles	-1.0	-1.32213
GTEX-QVUS-2826-SM-3GADB	GTEx Tissue Sample Gene Expression Profiles	1.0	1.11019
reticular nucleus of thalamus, right	Allen Brain Atlas Adult Human Brain Tissue Gene Expression Profiles	-1.0	-0.990191
medial geniculate complex, left	Allen Brain Atlas Adult Human Brain Tissue Gene Expression Profiles	1.0	1.61862
regulation of cell projection organization	GO Biological Process Annotations 2015	1.0	null
BRD-K45740917	LINCS L1000 CMAP Chemical Perturbation Consensus Signatures	1.0	3.36557
early endosome membrane	COMPARTMENTS Curated Protein Localization Evidence Scores	1.0	0.663342
membrane	GO Cellular Component Annotations 2015	1.0	null
Lung adenocarcinoma_LUAD_TCGA-86-8358-01A-11R-2326-07	TCGA Signatures of Differentially Expressed Genes for Tumors	1.0	null
H3K9ac_Muscle Satellite Cultured Cells	Roadmap Epigenomics Histone Modification Site Profiles	1.0	null
RPMI 8226	Klijn et al., Nat. Biotechnol., 2015 Cell Line Gene Expression Profiles	1.0	0.868441
GTEX-QCQG-0726-SM-48U1Z	GTEx Tissue Sample Gene Expression Profiles	-1.0	-0.863558
Prostate adenocarcinoma_PRAD_TCGA-G9-6365-11A-01R-1789-07	TCGA Signatures of Differentially Expressed Genes for Tumors	1.0	null
GTEX-QDVN-2326-SM-2S1PF	GTEx Tissue Sample Gene Expression Profiles	-1.0	-1.32213
migration	GeneRIF Biological Term Annotations	1.0	null
H3K27ac_A549_hg19_2	ENCODE Histone Modification Site Profiles	1.0	null
H3K27me3_H1 BMP4 Derived Mesendoderm Cultured Cells	Roadmap Epigenomics Histone Modification Site Profiles	1.0	null
TCF12_H1-hESC_hg19_2	ENCODE Transcription Factor Binding Site Profiles	1.0	null
cerebellar cortex_35 pcw_F_12295	Allen Brain Atlas Developing Human Brain Tissue Gene Expression Profiles by RNA-seq	-1.0	-2.34479
BRD-K15285842	LINCS L1000 CMAP Chemical Perturbation Consensus Signatures	1.0	3.06704
locomotion	GO Biological Process Annotations 2015	1.0	null
dorsomedial preoptic area, superficial part	Allen Brain Atlas Adult Mouse Brain Tissue Gene Expression Profiles	1.0	1.40122
haplotype	GeneRIF Biological Term Annotations	1.0	null
CDK5RAP2	Pathway Commons Protein-Protein Interactions	1.0	null
BRD-K09720842	LINCS L1000 CMAP Chemical Perturbation Consensus Signatures	-1.0	-3.33648
H3K4me1_skeletal muscle myoblast_hg19_1	ENCODE Histone Modification Site Profiles	1.0	null
CA1 field, right	Allen Brain Atlas Adult Human Brain Tissue Gene Expression Profiles	1.0	1.3916
lateral ganglionic eminence_8 pcw_M_13058	Allen Brain Atlas Developing Human Brain Tissue Gene Expression Profiles by Microarray	-1.0	-1.73869
GTEX-QVJO-1325-SM-2S1QX	GTEx Tissue Sample Gene Expression Profiles	1.0	1.25971
Mesothelioma_MESO_TCGA-MQ-A4LJ-01A-11R-A34F-07	TCGA Signatures of Differentially Expressed Genes for Tumors	1.0	null
BRD-K55606442	LINCS L1000 CMAP Chemical Perturbation Consensus Signatures	-1.0	-3.27232
Primary somatosensory area, lower limb, layer 1	Allen Brain Atlas Adult Mouse Brain Tissue Gene Expression Profiles	1.0	1.43084
Hyper Ldl Cholesterolaemia	DisGeNET Gene-Disease Associations	1.0	null
molecular layer of CbVCx	Allen Brain Atlas Adult Mouse Brain Tissue Gene Expression Profiles	-1.0	-1.02754
Brain Lower Grade Glioma_LGG_TCGA-HT-8019-01A-21R-2404-07	TCGA Signatures of Differentially Expressed Genes for Tumors	1.0	null
CTCF_H54_hg19_1	ENCODE Transcription Factor Binding Site Profiles	1.0	null
SCLC-22H	Klijn et al., Nat. Biotechnol., 2015 Cell Line Gene CNV Profiles	1.0	1.11637
NCIH1755	CCLE Cell Line Gene Expression Profiles	1.0	1.63691
H3K4me1_erythroblast_mm9_2	ENCODE Histone Modification Site Profiles	1.0	null
SAP30_H1-hESC_hg19_1	ENCODE Transcription Factor Binding Site Profiles	1.0	null
GTEX-OIZH-1626-SM-2HMKI	GTEx Tissue Sample Gene Expression Profiles	-1.0	-0.832819
BRD-K79965790	LINCS L1000 CMAP Chemical Perturbation Consensus Signatures	1.0	3.29359
JUND_H1-hESC_hg19_3	ENCODE Transcription Factor Binding Site Profiles	1.0	null
YAPC	Klijn et al., Nat. Biotechnol., 2015 Cell Line Gene CNV Profiles	-1.0	-1.22967
A431	COSMIC Cell Line Gene Mutation Profiles	1.0	null
arcuate nucleus of medulla, left	Allen Brain Atlas Adult Human Brain Tissue Gene Expression Profiles	1.0	1.05929
inferolateral temporal cortex (area TEv, area 20)_8 yrs_M_12841	Allen Brain Atlas Developing Human Brain Tissue Gene Expression Profiles by RNA-seq	-1.0	-1.02028
DROSHA	ChEA Transcription Factor Targets	1.0	null
cingulum bundle, right	Allen Brain Atlas Adult Human Brain Tissue Gene Expression Profiles	-1.0	-1.8209
MAP7D1	Pathway Commons Protein-Protein Interactions	1.0	null
BRD-K97157596	LINCS L1000 CMAP Chemical Perturbation Consensus Signatures	1.0	3.07496
NCI-H1792	COSMIC Cell Line Gene Mutation Profiles	1.0	null
BRD-K95350313	LINCS L1000 CMAP Chemical Perturbation Consensus Signatures	-1.0	-3.73449
BRD-K45342423	LINCS L1000 CMAP Chemical Perturbation Consensus Signatures	-1.0	-3.12413
ets_00000000_2008_ovarian_cancer_cells_gof_human_gpl6244_gse21129	GEO Signatures of Differentially Expressed Genes for Transcription Factor Perturbations	1.0	0.690443
HUH-1	COSMIC Cell Line Gene Mutation Profiles	1.0	null
H3K9ac_CD14-positive monocyte_hg19_1	ENCODE Histone Modification Site Profiles	1.0	null
endocytic vesicle membrane	GO Cellular Component Annotations 2023	1.0	null
intracellular organelle	COMPARTMENTS Text-mining Protein Localization Evidence Scores	1.0	0.26312
6-azathymine-4106	CMAP Signatures of Differentially Expressed Genes for Small Molecules	1.0	null
H3K4me3_K562_hg19_1	ENCODE Histone Modification Site Profiles	1.0	null
BRD-K86208187	LINCS L1000 CMAP Chemical Perturbation Consensus Signatures	-1.0	-3.23006
CALCOCO2	Pathway Commons Protein-Protein Interactions	1.0	null
CTCF_small intestine_mm9_1	ENCODE Transcription Factor Binding Site Profiles	1.0	null
language	GeneRIF Biological Term Annotations	1.0	null
GTEX-XUYS-0002-SM-47JXL	GTEx Tissue Sample Gene Expression Profiles	-1.0	-1.32213
EP300_ECC-1_hg19_1	ENCODE Transcription Factor Binding Site Profiles	1.0	null
MOLM14	DepMap CRISPR Gene Dependency	1.0	10.7109
whole body	TISSUES Text-mining Tissue Protein Expression Evidence Scores	1.0	0.671285
hsa-miR-4762-5p	TargetScan Predicted Nonconserved microRNA Targets	1.0	0.921135
disease	GWASdb SNP-Disease Associations	1.0	0.051651
posterior (caudal) superior temporal cortex (area 22c)_21 pcw_M_12886	Allen Brain Atlas Developing Human Brain Tissue Gene Expression Profiles by RNA-seq	1.0	1.38821
STAT3_MCF 10A_hg19_1	ENCODE Transcription Factor Binding Site Profiles	1.0	null
GTEX-S4Z8-0626-SM-4AD6J	GTEx Tissue Sample Gene Expression Profiles	-1.0	-0.917045
negative regulation of cell differentiation	GO Biological Process Annotations 2015	1.0	null
whole body	TISSUES Experimental Tissue Protein Expression Evidence Scores	1.0	0.012121
Cochlear nucleus, subpedunclular granular region	Allen Brain Atlas Adult Mouse Brain Tissue Gene Expression Profiles	-1.0	-1.23679
H3K4me3_Jurkat_hg19_1	ENCODE Histone Modification Site Profiles	1.0	null
clidinium	LINCS L1000 CMAP Chemical Perturbation Consensus Signatures	-1.0	-3.49413
additional	GeneRIF Biological Term Annotations	1.0	null
BRD-K22870904	LINCS L1000 CMAP Chemical Perturbation Consensus Signatures	1.0	3.85761
GTEX-QDVJ-1126-SM-48U1U	GTEx Tissue Sample Gene Expression Profiles	-1.0	-1.32213
increased mean corpuscular volume	MGI Mouse Phenotype Associations 2023	1.0	null
BRWD1	Pathway Commons Protein-Protein Interactions	1.0	null
GTEX-Q2AG-0008-SM-48U2K	GTEx Tissue Sample Gene Expression Profiles	-1.0	-1.32213
GTEX-QVJO-0011-R4A-SM-2S1QL	GTEx Tissue Sample Gene Expression Profiles	1.0	1.1984
direct	GeneRIF Biological Term Annotations	1.0	null
evidence	GeneRIF Biological Term Annotations	1.0	null
GTEX-NPJ8-0011-R6a-SM-2HMKB	GTEx Tissue Sample Gene Expression Profiles	1.0	1.2684
lateral ganglionic eminence_9 pcw_M_12833	Allen Brain Atlas Developing Human Brain Tissue Gene Expression Profiles by RNA-seq	-1.0	-1.36135
GTEX-P78B-0008-SM-48TE1	GTEx Tissue Sample Gene Expression Profiles	-1.0	-1.32213
GTEX-XLM4-3126-SM-4AT6M	GTEx Tissue Sample Gene Expression Profiles	1.0	0.860105
viscus	TISSUES Text-mining Tissue Protein Expression Evidence Scores	1.0	0.050445
KP-3	Klijn et al., Nat. Biotechnol., 2015 Cell Line Gene CNV Profiles	-1.0	-0.881948
schizophrenia	GWASdb SNP-Disease Associations	1.0	0.826445
mediodorsal nucleus of thalamus_1 yrs_F_12830	Allen Brain Atlas Developing Human Brain Tissue Gene Expression Profiles by RNA-seq	1.0	1.52486
GTEX-WL46-0011-R11A-SM-3MJFT	GTEx Tissue Sample Gene Expression Profiles	1.0	1.18809
BRD-K75844518	LINCS L1000 CMAP Chemical Perturbation Consensus Signatures	-1.0	-3.17198
Inferior olivary complex	Allen Brain Atlas Adult Mouse Brain Tissue Gene Expression Profiles	-1.0	-1.79286
DENND3	Pathway Commons Protein-Protein Interactions	1.0	null
anterior part of Int	Allen Brain Atlas Adult Mouse Brain Tissue Gene Expression Profiles	-1.0	-1.06863
GTEX-P78B-1626-SM-2S1O1	GTEx Tissue Sample Gene Expression Profiles	-1.0	-1.32213
GTEX-N7MS-0011-R6a-SM-2HMJ4	GTEx Tissue Sample Gene Expression Profiles	1.0	0.961052
neuroblast	TISSUES Text-mining Tissue Protein Expression Evidence Scores	1.0	0.087881
trochlear nucleus, left	Allen Brain Atlas Adult Human Brain Tissue Gene Expression Profiles	-1.0	-1.41004
BRD-K96778009	LINCS L1000 CMAP Chemical Perturbation Consensus Signatures	-1.0	-3.02636
BRD-K33637419	LINCS L1000 CMAP Chemical Perturbation Consensus Signatures	-1.0	-3.3619
BRD-K42982250	LINCS L1000 CMAP Chemical Perturbation Consensus Signatures	-1.0	-3.27304
OVCAR-4	Klijn et al., Nat. Biotechnol., 2015 Cell Line Gene CNV Profiles	1.0	1.12286
GTEX-R55E-0011-R5A-SM-2TC5N	GTEx Tissue Sample Gene Expression Profiles	1.0	0.926332
H3K4me3_olfactory bulb_mm9_1	ENCODE Histone Modification Site Profiles	1.0	null
GTEX-NL3H-0011-R11A-SM-2I3E6	GTEx Tissue Sample Gene Expression Profiles	1.0	0.948353
hsa-miR-4668-5p	TargetScan Predicted Nonconserved microRNA Targets	1.0	1.07142
neocortex	GeneRIF Biological Term Annotations	1.0	null
allelic	GeneRIF Biological Term Annotations	1.0	null
CHD2_HepG2_hg19_1	ENCODE Transcription Factor Binding Site Profiles	1.0	null
H3K4me1_brain_mm9_1	ENCODE Histone Modification Site Profiles	1.0	null
posteroventral (inferior) parietal cortex_8 yrs_M_12841	Allen Brain Atlas Developing Human Brain Tissue Gene Expression Profiles by RNA-seq	-1.0	-1.2045
EFM-19	Klijn et al., Nat. Biotechnol., 2015 Cell Line Gene CNV Profiles	1.0	1.36945
H3K79me2_HeLa-S3_hg19_1	ENCODE Histone Modification Site Profiles	1.0	null
TBK1_druginhibition_188_GSE53658	GEO Signatures of Differentially Expressed Genes for Kinase Perturbations	1.0	1.21788
JUND	ENCODE Transcription Factor Targets	1.0	null
SW 982	Klijn et al., Nat. Biotechnol., 2015 Cell Line Gene Expression Profiles	-1.0	-1.12919
H3K4me3_GM12864_hg19_2	ENCODE Histone Modification Site Profiles	1.0	null
GTEX-TSE9-0011-R10A-SM-3DB7O	GTEx Tissue Sample Gene Expression Profiles	1.0	1.04922
Brain Lower Grade Glioma_LGG_TCGA-S9-A6WI-01A-21R-A33Z-07	TCGA Signatures of Differentially Expressed Genes for Tumors	1.0	null
CAKI1	BioGPS Cell Line Gene Expression Profiles	1.0	0.982521
GTEX-WWYW-3026-SM-3NB36	GTEx Tissue Sample Gene Expression Profiles	1.0	0.906324
FOXA1-25329375-VCAP-HUMAN	ChEA Transcription Factor Targets 2022	1.0	null
BRD-K58333451	LINCS L1000 CMAP Chemical Perturbation Consensus Signatures	1.0	3.88332
inner SZ in primary somatosensory cortex	Allen Brain Atlas Prenatal Human Brain Tissue Gene Expression Profiles	-1.0	-1.21318
H3K4me2_HepG2_hg19_1	ENCODE Histone Modification Site Profiles	1.0	null
Crus 2, granular layer	Allen Brain Atlas Adult Mouse Brain Tissue Gene Expression Profiles	-1.0	-1.29399
Episodic Kinesigenic Dyskinesia	DisGeNET Gene-Disease Associations	1.0	null
Supplemental somatosensory area, layer 6b	Allen Brain Atlas Adult Mouse Brain Tissue Gene Expression Profiles	1.0	2.10018
Malformations Of Cortical Development	DisGeNET Gene-Disease Associations	1.0	null
succinic semialdehyde dehydrogenase deficiency	DISEASES Text-mining Gene-Disease Association Evidence Scores	1.0	0.597961
A-Vietnam-1203_CIP048_RG4-2004(H5N1)NS1trunc_24Hour_None_GSE43204	GEO Signatures of Differentially Expressed Genes for Viral Infections	-1.0	-1.79025
nervous system	TISSUES Curated Tissue Protein Expression Evidence Scores	1.0	null
regulation of SMAD protein signal transduction	GO Biological Process Annotations 2023	1.0	null
BRD-K71452779	LINCS L1000 CMAP Chemical Perturbation Consensus Signatures	-1.0	-3.23333
MEF2A	JASPAR Predicted Transcription Factor Targets	1.0	null
trachea	BioGPS Mouse Cell Type and Tissue Gene Expression Profiles	-1.0	-1.05588
CTCF_MCF-7_hg19_6	ENCODE Transcription Factor Binding Site Profiles	1.0	null
H3K4me3_skeletal muscle cell_hg19_1	ENCODE Histone Modification Site Profiles	1.0	null
Primary motor area, Layer 1	Allen Brain Atlas Adult Mouse Brain Tissue Gene Expression Profiles	1.0	1.47921
RAD21_HeLa-S3_hg19_1	ENCODE Transcription Factor Binding Site Profiles	1.0	null
BXPC-3	Klijn et al., Nat. Biotechnol., 2015 Cell Line Gene Expression Profiles	-1.0	-1.49341
BRD-K96218803	LINCS L1000 CMAP Chemical Perturbation Consensus Signatures	-1.0	-4.24677
RNF2	ENCODE Transcription Factor Targets	1.0	null
H3K4me3_WI38_hg19_1	ENCODE Histone Modification Site Profiles	1.0	null
OTUD4	Pathway Commons Protein-Protein Interactions	1.0	null
LUZP1	Pathway Commons Protein-Protein Interactions	1.0	null
H3K4me2_A549_hg19_1	ENCODE Histone Modification Site Profiles	1.0	null
HSPB1	Pathway Commons Protein-Protein Interactions	1.0	null
H3K4me3_cardiac mesoderm_hg19_5	ENCODE Histone Modification Site Profiles	1.0	null
NRF1_GM12878_hg19_1	ENCODE Transcription Factor Binding Site Profiles	1.0	null
NCI-H2126	COSMIC Cell Line Gene Mutation Profiles	1.0	null
TDG	Pathway Commons Protein-Protein Interactions	1.0	null
GTEX-PVOW-0011-R5A-SM-32PL7	GTEx Tissue Sample Gene Expression Profiles	1.0	0.991284
11920564-Table5a	GeneSigDB Published Gene Signatures	1.0	null
Flocculus, granular layer	Allen Brain Atlas Adult Mouse Brain Tissue Gene Expression Profiles	-1.0	-1.65127
BRD-K69930474	LINCS L1000 CMAP Chemical Perturbation Consensus Signatures	1.0	3.16155
brain	TISSUES Curated Tissue Protein Expression Evidence Scores	1.0	null
Rectum adenocarcinoma_READ_TCGA-DC-6682-01A-11R-1830-07	TCGA Signatures of Differentially Expressed Genes for Tumors	1.0	null
FANCM	Pathway Commons Protein-Protein Interactions	1.0	null
H3K27me3_cardiac mesoderm_hg19_5	ENCODE Transcription Factor Binding Site Profiles	1.0	null
A-Vietnam-1203_CIP048_RG3-2004(H5N1)mutPB1-F2del_18Hour_None_GSE43203	GEO Signatures of Differentially Expressed Genes for Viral Infections	1.0	1.76354
Prostate adenocarcinoma_PRAD_TCGA-J9-A52B-01A-11R-A26U-07	TCGA Signatures of Differentially Expressed Genes for Tumors	1.0	null
H3K4me1_Neurosphere Cultured Cells Cortex Derived	Roadmap Epigenomics Histone Modification Site Profiles	1.0	null
FLNA	Pathway Commons Protein-Protein Interactions	1.0	null
BRD-K68884923	LINCS L1000 CMAP Chemical Perturbation Consensus Signatures	-1.0	-3.80303
Accessory olfactory bulb, granular layer	Allen Brain Atlas Adult Mouse Brain Tissue Gene Expression Profiles	-1.0	-1.0181
Lingula (I)	Allen Brain Atlas Adult Mouse Brain Tissue Gene Expression Profiles	-1.0	-1.68373
GTEX-X4XX-2926-SM-3NMB1	GTEx Tissue Sample Gene Expression Profiles	1.0	1.03987
CP in retrosplenial cortex	Allen Brain Atlas Prenatal Human Brain Tissue Gene Expression Profiles	1.0	1.20263
Declive (VI)	Allen Brain Atlas Adult Mouse Brain Tissue Gene Expression Profiles	-1.0	-1.44989
regulation of cellular component organization	GO Biological Process Annotations 2015	1.0	null
pineal body	Allen Brain Atlas Prenatal Human Brain Tissue Gene Expression Profiles	-1.0	-3.41266
CTCF_GM19238_hg19_1	ENCODE Transcription Factor Binding Site Profiles	1.0	null
GTEX-RU72-0011-R5A-SM-2TF6U	GTEx Tissue Sample Gene Expression Profiles	1.0	1.04875
AN3 CA	Klijn et al., Nat. Biotechnol., 2015 Cell Line Gene CNV Profiles	1.0	0.832339
VZ in posteror frontal cortex (motor cortex)	Allen Brain Atlas Prenatal Human Brain Tissue Gene Expression Profiles	-1.0	-0.898127
GTEX-WZTO-0011-R8A-SM-4E3II	GTEx Tissue Sample Gene Expression Profiles	1.0	1.29524
mainolfactoryepithelium.MOE.	BioGPS Mouse Cell Type and Tissue Gene Expression Profiles	1.0	1.46784
DROSHA-22980978-HELA-HUMAN	ChEA Transcription Factor Binding Site Profiles	1.0	null
BRD-K61912055	LINCS L1000 CMAP Chemical Perturbation Consensus Signatures	1.0	3.17492
intermediate stratum of r10Tr	Allen Brain Atlas Adult Mouse Brain Tissue Gene Expression Profiles	1.0	1.93315
embryonic structure	TISSUES Text-mining Tissue Protein Expression Evidence Scores	1.0	0.056795
H3K4me3_bronchial epithelial cell_hg19_1	ENCODE Histone Modification Site Profiles	1.0	null
BRD-K72685049	LINCS L1000 CMAP Chemical Perturbation Consensus Signatures	-1.0	-3.00816
mediodorsal nucleus of thalamus_4 mos_M_12296	Allen Brain Atlas Developing Human Brain Tissue Gene Expression Profiles by RNA-seq	1.0	1.19233
PKD/REJ-like protein	InterPro Predicted Protein Domain Annotations	1.0	null
NPC1L1	Pathway Commons Protein-Protein Interactions	1.0	null
Kidney renal clear cell carcinoma_KIRC_TCGA-B0-5094-01A-01R-1420-07	TCGA Signatures of Differentially Expressed Genes for Tumors	1.0	null
striatum_15 yrs_M_12299	Allen Brain Atlas Developing Human Brain Tissue Gene Expression Profiles by Microarray	-1.0	-1.22953
PANC-10-05	COSMIC Cell Line Gene Mutation Profiles	1.0	null
TCF3	ENCODE Transcription Factor Targets	1.0	null
matter	GeneRIF Biological Term Annotations	1.0	null
globus pallidus, external segment, right	Allen Brain Atlas Adult Human Brain Tissue Gene Expression Profiles	-1.0	-1.27955
GTEX-WWYW-3126-SM-3NB39	GTEx Tissue Sample Gene Expression Profiles	1.0	1.05423
HCFC1	ENCODE Transcription Factor Targets	1.0	null
H3K4me3_NT2-D1_hg19_1	ENCODE Histone Modification Site Profiles	1.0	null
Agranular insular area, ventral part, layer 2/3	Allen Brain Atlas Adult Mouse Brain Tissue Gene Expression Profiles	1.0	1.65089
SUDHL1	CCLE Cell Line Gene CNV Profiles	1.0	2.30426
GTEX-UJHI-1426-SM-3DB9C	GTEx Tissue Sample Gene Expression Profiles	-1.0	-1.32213
layer 5 of CCx	Allen Brain Atlas Adult Mouse Brain Tissue Gene Expression Profiles	1.0	1.09474
primary auditory cortex (core)_19 pcw_F_12885	Allen Brain Atlas Developing Human Brain Tissue Gene Expression Profiles by Microarray	1.0	1.07046
GTEX-WFG7-0008-SM-4LMKB	GTEx Tissue Sample Gene Expression Profiles	-1.0	-1.32213
H3K9ac_endothelial cell of umbilical vein_hg19_1	ENCODE Histone Modification Site Profiles	1.0	null
MAX_K562_hg19_3	ENCODE Transcription Factor Binding Site Profiles	1.0	null
cerebral hemisphere	TISSUES Text-mining Tissue Protein Expression Evidence Scores	1.0	0.934054
vestibular nuclei, right	Allen Brain Atlas Adult Human Brain Tissue Gene Expression Profiles	-1.0	-0.905989
BRD-K51454545	LINCS L1000 CMAP Chemical Perturbation Consensus Signatures	1.0	3.42847
H3K4me3_SK-N-MC_hg19_1	ENCODE Histone Modification Site Profiles	1.0	null
GTEX-XLM4-0011-R3B-SM-4AT6E	GTEx Tissue Sample Gene Expression Profiles	1.0	1.54496
MAX_H1-hESC_hg19_2	ENCODE Transcription Factor Binding Site Profiles	1.0	null
HSC-3	COSMIC Cell Line Gene Mutation Profiles	1.0	null
CENPV	Pathway Commons Protein-Protein Interactions	1.0	null
BRD-K44722328	LINCS L1000 CMAP Chemical Perturbation Consensus Signatures	-1.0	-3.21778
PANC0213	CCLE Cell Line Gene CNV Profiles	-1.0	-1.44303
inferolateral temporal cortex (area TEv, area 20)_21 pcw_F_12365	Allen Brain Atlas Developing Human Brain Tissue Gene Expression Profiles by Microarray	1.0	1.68893
CAMA-1	Klijn et al., Nat. Biotechnol., 2015 Cell Line Gene CNV Profiles	1.0	1.08549
inner SZ in orbital frontal cortex	Allen Brain Atlas Prenatal Human Brain Tissue Gene Expression Profiles	-1.0	-1.32483
H3K4me3_H1	Roadmap Epigenomics Histone Modification Site Profiles	1.0	null
BRD-K97638135	LINCS L1000 CMAP Chemical Perturbation Consensus Signatures	1.0	3.14991
GTEX-SIU7-1126-SM-2XCDW	GTEx Tissue Sample Gene Expression Profiles	-1.0	-1.32213
Schizophrenic Psychology	HuGE Navigator Gene-Phenotype Associations	1.0	null
cellular_component	LOCATE Predicted Protein Localization Annotations	1.0	null
BT20	Heiser et al., PNAS, 2011 Cell Line Gene Expression Profiles	1.0	1.16929
H3K4me1_K562_hg19_2	ENCODE Histone Modification Site Profiles	1.0	null
ventricular zone	TISSUES Text-mining Tissue Protein Expression Evidence Scores	1.0	0.89817
H3K27ac_Brain Cingulate Gyrus	Roadmap Epigenomics Histone Modification Site Profiles	1.0	null
BRD-K14098658	LINCS L1000 CMAP Chemical Perturbation Consensus Signatures	-1.0	-3.45302
dorsal thalamus_8 pcw_M_13058	Allen Brain Atlas Developing Human Brain Tissue Gene Expression Profiles by Microarray	-1.0	-2.25325
RNF2_K562_hg19_1	ENCODE Transcription Factor Binding Site Profiles	1.0	null
layer 4 of FCx	Allen Brain Atlas Adult Mouse Brain Tissue Gene Expression Profiles	1.0	1.08799
female reproductive system	TISSUES Text-mining Tissue Protein Expression Evidence Scores	1.0	0.051303
GTEX-NPJ7-0011-R6a-SM-2I3G7	GTEx Tissue Sample Gene Expression Profiles	1.0	0.971867
Claustrum	Allen Brain Atlas Adult Mouse Brain Tissue Gene Expression Profiles	1.0	1.20518
SCLC-21H	Klijn et al., Nat. Biotechnol., 2015 Cell Line Gene CNV Profiles	1.0	0.965923
globose nucleus, left	Allen Brain Atlas Adult Human Brain Tissue Gene Expression Profiles	-1.0	-1.02562
POLR2A_ECC-1_hg19_1	ENCODE Transcription Factor Binding Site Profiles	1.0	null
H3K4me3_BE2C_hg19_2	ENCODE Histone Modification Site Profiles	1.0	null
KIAA2026	Pathway Commons Protein-Protein Interactions	1.0	null
hsa-miR-3689e	TargetScan Predicted Nonconserved microRNA Targets	1.0	1.40969
BRD-K30467307	LINCS L1000 CMAP Chemical Perturbation Consensus Signatures	1.0	3.98557
H3K4me3_astrocyte of the spinal cord_hg19_2	ENCODE Histone Modification Site Profiles	1.0	null
hippocampus (hippocampal formation)_8 pcw_M_13058	Allen Brain Atlas Developing Human Brain Tissue Gene Expression Profiles by RNA-seq	-1.0	-2.25055
ZFHX3	Pathway Commons Protein-Protein Interactions	1.0	null
BL70	DepMap CRISPR Gene Dependency	1.0	2.30367
trigeminal	BioGPS Mouse Cell Type and Tissue Gene Expression Profiles	1.0	1.23083
GTEX-X4EO-0526-SM-3P5Z3	GTEx Tissue Sample Gene Expression Profiles	-1.0	-0.848929
H3K4me3_CD4 Naive Primary Cells	Roadmap Epigenomics Histone Modification Site Profiles	1.0	null
NCI-H1155	COSMIC Cell Line Gene Mutation Profiles	1.0	null
hsa-miR-4764-3p	TargetScan Predicted Conserved microRNA Targets	1.0	0.31417
SUZ12_H1-hESC_hg19_1	ENCODE Transcription Factor Binding Site Profiles	1.0	null
H3K4me3_CD4+ CD25+ CD127- Treg Primary Cells	Roadmap Epigenomics Histone Modification Site Profiles	1.0	null
COLO 680N	Klijn et al., Nat. Biotechnol., 2015 Cell Line Gene Expression Profiles	-1.0	-1.11168
H3K9ac_H9	Roadmap Epigenomics Histone Modification Site Profiles	1.0	null
H3K9ac_Penis Foreskin Keratinocyte Primary Cells	Roadmap Epigenomics Histone Modification Site Profiles	1.0	null
Alkaline Phosphatase Measurement	DisGeNET Gene-Phenotype Associations	1.0	null
BRD-K04819729	LINCS L1000 CMAP Chemical Perturbation Consensus Signatures	1.0	3.9273
PLEKHH1	Pathway Commons Protein-Protein Interactions	1.0	null
NCI-H2106	Klijn et al., Nat. Biotechnol., 2015 Cell Line Gene Expression Profiles	1.0	0.839505
orbital frontal cortex_8 pcw_M_13058	Allen Brain Atlas Developing Human Brain Tissue Gene Expression Profiles by Microarray	-1.0	-2.64243
H3K4me1_megakaryocyte_mm9_2	ENCODE Histone Modification Site Profiles	1.0	null
SHSYSY+RA	BioGPS Cell Line Gene Expression Profiles	-1.0	-1.20729
amygdaloid complex_9 pcw_M_12833	Allen Brain Atlas Developing Human Brain Tissue Gene Expression Profiles by RNA-seq	-1.0	-1.0737
ventrolateral prefrontal cortex_21 pcw_M_12886	Allen Brain Atlas Developing Human Brain Tissue Gene Expression Profiles by RNA-seq	1.0	0.864558
intracellular	COMPARTMENTS Text-mining Protein Localization Evidence Scores	1.0	0.268969
GTEX-PX3G-3026-SM-48TZR	GTEx Tissue Sample Gene Expression Profiles	-1.0	-1.32213
hsa-miR-3972	TargetScan Predicted Nonconserved microRNA Targets	1.0	1.0155
BRD-K74978191	LINCS L1000 CMAP Chemical Perturbation Consensus Signatures	1.0	3.40731
GTEX-NPJ7-0011-R8a-SM-2I3G2	GTEx Tissue Sample Gene Expression Profiles	1.0	1.21653
GTEX-T6MN-0011-R11A-SM-32QOX	GTEx Tissue Sample Gene Expression Profiles	1.0	1.45418
H3K4me3_fibroblast of upper leg skin_hg19_1	ENCODE Histone Modification Site Profiles	1.0	null
TM31	CCLE Cell Line Gene Expression Profiles	-1.0	-2.67403
Anterolateral visual area	Allen Brain Atlas Adult Mouse Brain Tissue Gene Expression Profiles	1.0	1.2013
MFH-ino	GDSC Cell Line Gene Expression Profiles	-1.0	-1.62586
abducens nucleus, right	Allen Brain Atlas Adult Human Brain Tissue Gene Expression Profiles	-1.0	-1.08191
